sp;L;F;R;N;mowing_tol;grazing_tol;foraging_val
Viola reichenbachiana;4;6;7;6;;;
Leucanthemum vulgare;7;4;x;3;6;3;3
Vicia cracca agg.;7;5;x;x;6;1;7
Cirsium heterophyllum;7;8;5;6;;;
Phyteuma nigrum;7;5;5;4;4;2;6
Digitalis purpurea;7;5;3;6;2;8;1
Epilobium obscurum;7;8;4;4;;;
Gentiana pannonica;7;5;1;2;;;
Sphagnum sec. ;x;x;x;x;x;;
Climatium dendroides;x;x;x;x;x;;
Plagiomnium undulatum;x;x;x;x;x;;
Pellia epiphylla;x;x;x;x;x;;
Rhytidiadelphus squarrosus;x;x;x;x;x;;
Polytrichum sp.;x;x;x;x;x;;
